input_text,output_text
"""Hatred of a Minute"" is arguably one of the better films to come out of Michigan in recent years. Not to say that it's a brilliant film by any means, but it's definitely worth a watch. ""Hatred"" chronicles the sordid adventures of Eric Seaver (played by director Kallio), a formerly abused child now grown up, and starting to listen to his evil side. ""Hatred"" is very nice visually. The shots are creative, and the lighting is approporiately moody and interesting to look at. This film actually has an element of production value to it, unlike other recent Michigan releases like ""Dark Tomorrow"" and ""Biker Zombies."" Subtle dolly shots and stylized shot composition show good use of this film's $350,000 budget. However, ""Hatred"" stumbles in the same places that so many other local films do, and that's in the story and character department. Essentially, things just kind-of happen. Eric Seaver doesn't evolve at all. Basically, he's always been crazy, it's just that people are starting to notice. The film just wanders along its merry way with very little development. Also, the ending is very abrupt. However- since this is a horror film, since when do we care about plot? We just want to see people die, and ""Hatred"" certainly delivers. As the body count mounted, people in the theater started cheering ""Kill her! Kill em' all!"" When people scream back at the screen, it's always fun. That's the place where ""Hatred"" succeeds. It's fun. And in the end, that's all that really matters.",positive
"For the uninitiated, almost any Andy Milligan film is a shock, but despite the fact that I've seen many of his films, this one still takes the cake for sheer shoddiness. This is, of course, Milligan's take on the Sweeney Todd tale, done with period costumes (but not necessarily period hairstyles, in some cases) and the usual headache-inducing camera-work & grainy quality. As for the gore, well, the version I saw may have been cut some, for there's not a lot, for a film with ""bloodthirsty"" in the title. The best indication of subversive film-making here is a meat pie consisting only of some poor victim's tit. So, while I will still treasure this piece of, uh, work, on my video shelf, it's definitely somewhat of a letdown as far as content though. Recommended for only the foolhardy & morbidly curious. 3 out of 10.",negative
"I will admit I possibly missed tiny moments when I wasn't paying proper attention, but I got enough of the story to agree that it is a great family film, from director Lionel Jefferies, who played Grandpa Potts in Chitty Chitty Bang Bang. Basically it starts with a happy upper-middle class family living in Victorian London. One night the Father (Iain Cuthbertson) is visited by two strangers, and he leaves with them, and does not return. They move to a cottage in the country, and here the children; Bobbie (Jenny Agutter, who I first saw in Child's Play 2), Phyllis (Sally Thomsett) and Peter (Gary Warren) keep their spirits up, with their fascination for the nearby railroad. Everyday they wave faithfully to the passengers in the passing trains, and with courage and vigilance they also avoid an accident and are made heroes. Their kindness makes them friends, including important people who can help find the mystery of their missing father. Also starring Dinah Sheridan as Mother/Mrs. Waterbury, Bernard Cribbins as Albert Perks, William Mervyn as Old Gentleman, Peter Bromilow as Doctor Forrest, Ann Lancaster as Ruth and Gordon Whiting as Russian. It was number 29 on The 100 Greatest Family Films, and it was number 24 on The 50 Greatest British Films. Very good!",positive
"This movie was working toward two goals: to make a political point and to tell a scary adventure story. It's often difficult to do make a political point and still tell a good story (consider the highly political but rarely-entertaining final season of Ellen). Beyond Rangoon finds a good balance between politics and storytelling. I already knew that Aung San Suu Kyi had won the 1991 Nobel Peace Prize, and knew something about the oppressive political situation in Burma, so the political message of the movie was mostly a dramatization of what I already knew. But I thought the movie did a good job of telling about Aung San Suu Kyi and the mostly-faceless dictators who have for years tried to silence her. The device of presenting an unfamiliar setting through the eyes of a character that viewers can identify with is fairly common, but it's quite well done in this movie. Of course, the real measure of the movie was its entertainment value. Arquette was excellent as a young woman whose sister took her to a distant, unfamiliar place to shake her out of her depression over the violent deaths of her husband and son. She is convincingly detached and depressed. Her grieving condition gives her a clear reason for her distracted wanderings into the thick of a dangerous situation she does not understand, something she'd otherwise be much too intelligent to stumble into. Once the dangers become so obvious that she can see through them even through the cloud of grief, she's trapped, with no easy escape. That sets her on a path of adventure where she needs her intelligence to survive. The writers deserve much credit for making her intelligent and resourceful enough to deal with numerous dangerous situations, while still finding a plausible reason for her to be foolish enough to get into trouble in the first place. The directing is strong also, keeping up the tension throughout the race to escape the forces of the dictatorship. This movie had additional impact on me and my wife because of other events of the same time period. We were preparing for a trip to India, and heard news reports of Western tourists who had been taken hostage by a terrorist group in India. Avoiding isolated terrorists in a peaceful democratic country is quite a different matter from escaping an oppressive dictatorship. But the movie and the news shared the element of avoiding danger in an unfamiliar country. That common characteristic gave the movie meaning beyond the strength of its own skillful storytelling. The movie illustrates the international tourist's worst nightmare.",positive
"Inspector ""Dirty"" Harry Callahan once again angers his superiors with his maverick approach to police work. Refusing to take a vacation he is given a simple case which takes him outside of San Francisco. However, he soon discovers a link between a recent murder in the city and a murder outside of the city, which leads him to the trail of a revenge killer. As an entry in the Dirty Harry franchise the film starts with some very promising moments, including the legendary ""Go ahead, make my day"" line that Eastwood delivers wonderfully through clenched teeth before single handedly foiling a robbery. Very badass and it just what fans can expect from him. However, the film soon shifts gears and focuses on the mysterious revenge killer. The problem is that this killer isn't all that mysterious as she is characterized as much as Harry is. This really detracts from the presence of the main character who ruled all of his previous film appearances with, pardon the pun, Magnum Force. On the bright side this new storyline does draw several parallels to Harry's own unorthodox methods and gives his character dramatic depth that was not there before, but fans that were looking for another badass Harry outing will more than likely be somewhat disappointed. However, a tense climax ends the film on an exciting note so if you don't mind something a little different, it is a good movie for fans. --- 7/10 Rated R for violence and a rape scene",positive
"I enjoyed this movie. More than I expected. It has enough action, intrigue and locations to make it worth your while. While I can't quite yet see Mark Wahlberg as a leader, he's gotten good enough to be a credible manager and that's OK. The superhero of the movie is the Mini Cooper. It's shown to have the speed, dexterity and muscle to pull off any job. And to handle a maniac driver like Charlize Theron's character.",positive
"""What happens when you give a homeless man $100,000?"" As if by asking that question they are somehow morally absolved of what is eventually going to happen. The creators of ""Reversal of Fortune"" try to get their voyeuristic giggles while disguising their antics as some kind of responsible social experiment. They take Ted, a homeless man in Pasadena, and give him $100,000 to see if he will turn his life around. Then, with only the most cursory guidance and counseling, they let him go on his merry way. What are they trying to say? ""Money can't buy you happiness?"" ""The homeless are homeless because they deserve to be?"" Or how about, ""Lift a man up - it's more fun to watch him fall from a greater altitude."" They took a man with nothing to lose, gave him something to lose, and then watched him dump it all down the drain. That's supposed to be entertainment? They dress this sow up with some gloomy music and dramatic camera shots, but in the end it has all the moral high ground of car crash videos - only this time they engineered the car crashes and asked, ""What happens when you take down a stop sign?""",negative
"On monday, earlier this week, sometime in July, I happened to be under the influence of the sweet leaf, and me being a horror fan, wanted to see something scary. I was thinking of The Ammityville Horror 2, but I got something way better. I was at my friend's house, and he had the VHS Evil Ed. No cover or anything, he didn't even see the whole thing himself, but he told me it was about ""A guy who goes crazy and kills a lot of people."" Well, this movie was very shocking,I've never seen the actual brutal nature of sadistic violence until this movie, It buries Ted Bundy and Ed Gein both! It is pretty funny too, with references to The Evil Dead trilogy( and plus the Evil Dead 2 poster is everywhere in the movie!) The movie is about Edward, a obsessive-compulsive, nice guy, who happens to be a film editor. He is then lent to another department in the building, and he is sent to the posh yet violent world of Sam Campbell, the Splatter and Gore department. Sam Campbell, Eddy's new boss, is telling Eddy about the big break on his movies, the gruesome Loose Limbs series, and he needs Eddy to make the movie somewhat less violent so they can be shown all over Europe. Eddy has his regrets soon, as the images and scenes that are displayed to him from the lonely suburban house he is sent to work in, and then, what happens from there is truly nightmarish. Imagine yourself in his place! The acting is great, the overdubbing is little funny (Sam Campbell's voice is often found funny, same with the other actors). However, the overdubbing job was done pretty good, I give this movie a 10/10, and it's a good introduction to the Gore sub-genre to Horror. Very good, Nightmarish, bloody.......You just have to see it for yourself. quote from movie: ""Where in the f**k is my Beaver rape scene?!""",positive
"This movie was great and I would like to buy it.The boy goes with his grandfather to catch a young eagle. the boy has to feed and care for the eagle until it is old enough to be sacrificed for the crops. the boy saves the eagle from being killed and runs away from the tribe.The eagle helps feed him by catching a duck from a small pond the boy scares up. Later the boy shoots a deer that a bully kid was claiming because their arrows were marked very close the same. Only until they check the thickness of the red lines do they determine who actually got the deer. But this was unfortunate because it made the other boys even crueler to him,and at the end he is being chased up onto a cliff but when you think he will fall off his pure love for the eagle transforms him into a golden eagle with only a necklace as a reminder of who he was.Please if anyone knows where I can buy this movie let me know.I haven't seen it for over 30 years,but still remember parts of the movie.deniselacey2000@yahoo.com",positive
"This Italian movie is basically a soap opera with skin. The VHS box said it was rated ""R"" but the into on the actual tape inside said it was ""X."" The latter makes a lot more sense because there is a short scene near the end that was shocking. Even in the dark, you could see Dutch actress Marishcka Detmers performing all sex on this guy - and, yes, you could see his penis in her mouth. I read somewhere that this was the first time where a ""mainline actress"" had done something like this on screen. Detmers parades around in the nude on several scenes but her face was even better than her body. She looked beautiful. Unfortunately, the movie is ugly....a real waste of time and certainly not recommended despite Detmers' looks.",negative
"Excellent. Gritty and true portrayal of pioneer ranch life on the Western plains with an emphasis on the woman's role and place. A moving film, lovingly made, and based on real people and their actual experiences. Low budget, independent film; never made any money. Definitely not the romanticized, unrealistic Hollywood version of pioneer life.",positive
"For the life of me I can't figure out why anyone would make a movie like this. The plot is tired, the acting is strained, the language is consistently foul and at times the over use of the ""F"" word seemed like a lack of dialog was prevalent so 'let's throw in another couple of ""F's"" for good measure, that's what the American public wants to hear'. Gossett was particularly foul and seemed to enjoy his part. Forget this c__p, rent 'Shrek"" and have a good laugh.",negative
"Space Camp, which had the unfortunate luck to be planned around the time of the Challenger accident, deserves such luck. The ""stars"" make a mockery of acting, Lea Thomson actually being turned sideways, when asked for more than her usual wide-eyed innocent smile, presumably to mask her risible attempts. The movie is at times hilarious, when it begins to ask far too much of you. A small boy keeps a multi-million dollar robot in his closet which breaks when given too many commands by the hordes of cliched dorm-mates. This hackneyed and unlovable machine, ""Jinx"", is a major player in the ridiculous premise of the movie, which seems part Short Circuit, part 2001 by the Airplane team. I shan't bore you with this, suffice it to say you can only laugh when faced with it. Having said all of this, it is enjoyable to watch, in a SeaQuest, Saved by the Bell kind of way. The romance and technology, beware, are as unbelievable as each other. Also, if you're an eighties freak, its unmissable for the amusing performances of Kate Capshaw (Willie from Temple of Doom) and, obviously, Lea Thompson. Also, Joaquin Phoenix puts in a dodgy turn as a sort of wannabe Goonie who befriends Jinx. Do not go near this movie if you are not a fan of trash.",negative
"Created by Dennis Spooner, 'Department S' was a glossy thriller show about an offshoot of Interpol, based in Geneva, created to solve baffling mysteries the police could not handle. If a plane landed at Heathrow with no-one aboard, if a man was found wandering around London in a space-suit, if the passenger of a Rolls Royce suddenly transmogrified into a skeleton, if a train pulling into a tube station turned out to contain dead commuters, you called on 'Department S' to sort things out. Peter Wyngarde played 'Jason King', a flamboyantly dressed crime novelist whose fertile imagination helped crack many of the bizarre cases. King caught the public's fancy and was later awarded a spin-off show. He was ably assisted by American 'Stuart Sullivan' ( Joel Fabiani ) and the delectable 'Annabelle Hurst' ( Rosemary Nicols ). Unusually for a '60's show, the department was headed by a black man - 'Sir Curtis Seretse' ( Dennis Alaba Peters ) If the show looked and felt a lot like 'The Avengers', it was hardly surprising. It shared many of the same writers and directors! The colourful titles were designed by Chambers & Partners, and are worth tuning in for alone. As was the case with so many I.T.C. series, the music was composed by Edwin Astley. His theme for 'Department S' has got to rank as one of the best television themes of all time. Predictably, the show looks a little sexist and dated now, but don't let that dissuade you from tuning in. Imagine a hybrid of 'Jonathan Creek' and the 'Austin Powers' movies and you've got 'Department S'! Trivia Note: the episode 'A Small War Of Nerves' features a young Sir Anthony Hopkins in a major role!",positive
"Summer season is here when the choices in the cinemas are limited to what's the hottest movie of the week, given 99.9% of the screens dedicated to screening it. OK, so I may exaggerate on the percentage, but you get my drift. Besides stuff from Hollywood, Bollywood too have their own share of highly anticipated blockbusters, and from some of the trailers shown, I'm hyped to watch them too. Tashan was billed as one of THE most highly anticipated for 2008, but I was quite surprised at the lower than low turnout at the cinemas. When I watched Jodha Akbar, it was a full house, but it wasn't for Tashan. After watching it, I knew why. It was entertaining, but it was fundamentally weak. Just like it's literal English title, which means ""Style"", Tashan is all style, but little substance. Not that it doesn't have the usual star power, but scenes felt forced, and some bordered on a tad ridiculous, even for Bollywood standards I must say. Which is quite surprising given that Tashan is directed and written by Vijay Krishna Acharya, who wrote Dhoom and Dhoom 2, both of which I enjoyed tremendously. In his rookie directorial outing with Tashan, while you can't fault his direction, you'd probably scratch your head over the plot, which was clunky at best. It tried to force too many things into the story, though credit be given where it allowed you some avenue to question character motivation, but that came a little too late, and only toward the finale, which left you guessing for just a moment before it latched into full blown action mimicking many a Thai action movie, with Hong Kong's wirework and Hollywood's ludicrous firearms and gunplay with zero recoil. And in a bid to include everything including the kitchen sink, you have an assortment of vehicles appearing, and the one that took the cake, in a Dhoom 2 homage, was the jetski boat in the middle of nowhere. At best, Tashan can be enjoyed as unintentional comedy, and this is attributed to how the cast hammed up with their characters. Saif Ali Khan plays Jimmy Cliff, a call center executive who gives English tuition, only as a platform for fishing out new girlfriend material. His playboy ways gets junked aside when he meets with Pooja Singh (Kareena Kapoor), who's not exactly who she seems, the meek and sweet natured hottie. She engages Jimmy's services for her boss, mobster Bhaiyyaji (Anil Kapoor), who probably gets most of the laughs as he speaks broken English and phrases must like how an ah-beng does it. And to complete the quartet, Akshay Kumar plays Bachchan Pandey, an illiterate gangster for hire who got engaged by Bhaiyyaji to hunt down Jimmy and Pooja when they escape with money stolen from Bahiyyaji's business. So begins a road trip of sorts, with friends who turned enemies, and enemies whom you know will become friends as the road trip wears on. Jimmy Cliff is probably the most implausible of all, because he goes from zero to hero, executing moves that would shame Rambo, in absolutely no time, which is quite out of character. Kareena Kapoor amps up the sex factor as she uses her charms to guile both men, and has plenty of opportunity to do so given the much touted bikini scenes, and other costumes that boast of plunging necklines or hemlines way above the knee. Every character has a backstory created, and I thought Akshay Kumar's Bachchan Pandey was probably the best, the most touching and the most fun of the lot, even though his character seemed a lot like a non-green Incredible Hulk with his gravity-defying leaps and power packing punches. His wounds also heal automatically, which impressively puts Wolverine to shame. And the best part is his theme song, which is damn alpha-male and played in ra-ra mode each time he takes on adversaries. But sad to say, that's the only tune that is memorable, something that cheers ""Bachchan- Pandey-Bachchan-Pandey"". For most Bollywood movies I watch, I will usually be able to, despite the obvious language gaps, emerge from screenings humming a tune or two. I wasn't able to do that after Tashan, because the songs unfortunately just weren't catchy at all. Usually the song/dance routine works well into the storyline without any necessity to bring the characters out of the current scene or location. That I enjoy, versus plucking them out and plonking them into extreme settings high atop a mountain, or atop jagged rocks on the beach front. Tashan probably didn't take itself too seriously, but coming from Vijay Krishna Acharya's story, you probably wanted something a little more decent rather than the ridiculous, and for continuity to be a little more careful as well. Billed as a blockbuster, now I can start to understand why the crowds have already shunned this one. Despite Akshay Kumr stealing the show, Tashan could have been better on the whole.",negative
"This movie would receive a much higher vote from me in general and I will talk about why, but first and foremost it receives four stars and should stay at four stars because of the directors ridiculously tasteless portrayal of rape and sexual assault. Not far into the movie Oyama sexually assaults a woman he rescued earlier, and while she briefly becomes somewhat miffed by his actions this attitude only lasts about five minutes before loving adoration sets in and carries her character through the rest of the film. I know many will argue that it's not that important in a kung fu beat-em-up, and as a fan of the genera I can't say that it's all that unusual, but that doesn't stop it from being completely tasteless every time I see it. What I will say in this movie's defence however is that it's somewhat refreshing to see a martial arts, or even action movie of any sort, that offers no actual hero for the viewer to get behind. Oyama is portrayed as a rapist and murderer; a societal outcast whose only student becomes completely mentally unbalanced before being gunned down by the police. The final shots of the movie leave one with the feeling that Oyama himself is poised for a major breakdown and no longer seems to care for the woman he earlier assaulted into loving him and has since followed him with puppy-dog like devotion. Whether this was truly the intended message of the movie or not, one can't help but feel a little hopeful that Oyama might be on the brink of suicide by the time the movie is over. This is a rare emotional treatment from the martial arts genre and its interesting to see a film that leaves you with a sense that its violence is not to be celebrated. If only Karate Bullfighter had treated the subject of sexual violence better, either by creating more emotional depth and recognition between the two characters involved, or by leaving it out all together, this would have been a much more interesting film.",negative
"Before I start, let me say that my experience of this movie might have been influenced by the dubbing, which I gather from other comments was the original one which is considered inferior by some. So, it is entirely possible that subtitles or the apparently new DVD version would make a difference. I have also not read the corresponding book; I'm only familiar with one other Japanese manga and might be lacking cultural context. Potential minor spoilers ahead. I usually like darkly tinged science fiction stories (the likes of Blade Runner, 12 Monkeys, etc.), but I did not enjoy this movie at all. While it started out mildly intriguing, it became tedious by the time it was only half-way finished. There are all sorts of problems; let's start with what is probably the most severe: the dialogue. The characters seem unable to formulate complete sentences; if they aren't shouting each other's names for the n-th time, they are usually grunting monosyllables (""Kanedaaa!"", ""Tetsuoooo!"", ""Huh?"", ""Grrr"", etc.). This leaves most of the characters entirely underdeveloped and two-dimensional. It doesn't help in the least that a lot of them get only a few minutes of screen time without anything interesting to say that would develop them away from the stereotypes suggested by the visuals. The grunting is augmented by some random pseudo-philosophical technobabble that sounds vague and uninspired even by Star Trek standards. There is nothing deep and meaningful here - it all seems haphazard, thrown together at random from various bits and pieces of stock sci-fi ideas with no coherency whatsoever. What little there is of an intelligible plot is no more than an excuse to begin the overlong final sequence which consists of escalating scenes of mayhem and destruction. Not that there's anything wrong with a nice bit of mayhem and destruction, of course; but in this case you'll find yourself asking ""what's the point of it all, and how long until it's over"". Character development in the last 30 minutes or so consists of little more than Tetsuo turning into Pizza the Hutt for no readily apparent reason. The ending resembles the one in 2001 - a bizarre string of images that, far from resolving or explaining anything, leave the viewer feeling he's just been looking into a kaleidoscope for two hours. I'm sure some will claim that this sort of thing is art; but to me it was just a lot of admittedly imaginative use of colour and shapes. (Some of the music was also quite interesting). Unfortunately it's all style and no substance. Tired of Disney? Want to watch animated movies dealing intelligently with ""adult"" themes? I'm sad to say you're more likely to find that sort of thing in ""South Park"".",negative
"As a long-standing Barbra fan, any posting like this will be biased. That aside, this film ranks as a classic. It has it's flaws (emphasized in other postings), but gives a glimpse of a time (late 70s) that will never be there again, and is fascinating to watch unfold on screen. Streisand fought hard to make this movie her own. I don't think she was ever satisfied. But it gives her fans a new Barbra (for the time) with LIVE singing, a young fresh appearance, and some very heavy-duty acting. The story is rough, but exciting, and holds your interest throughout. The extended one frame ""finale"" is hard for most non-Barbra fans to sit through, but it speaks volumes to those who admire her talent.",positive
"REIGN OVER ME (2007) *** Adam Sandler, Don Cheadle, Jada Pinkett-Smith, Liv Tyler, Saffron Burrows, Donald Sutherland, Robert Klein, Melinda Dillon, Mike Binder, Jonathan Banks, Rae Allen, Paula Newsome. At times affecting and at times middling dramedy about a thoroughly depressed man who lost his family on 9/11 (Sandler in his best role since ""Punch-Drunk Love"") who winds up re-united with his old college roommate and friend (Cheadle continuing to do impressive work with every role to date), a well-to-do dentist who seems to have it all ? family, wealth, happiness ? but really sees an ally in freedom with his troubled friend's own personal life offerings. Written and directed by Binder (who co-stars as Sandler's former-best friend and acting accountant) with equal parts humor and genuine heartache the film works best when the two stars share the screen until the last act falls into an almost movie-of-the-week treacle with to tidy a solution to the matters at hand.",positive
"Peter O'Toole gives a brilliant performance in this movie. I have seen the original version with Robert Donat and I much prefer Peter O'Toole's performance and the movie in general even though it is a musical. I've really never seen anything that Mr. O'Toole is in that I don't like. He is a brilliant actor, multi-talented, giving performances full of passion and depth. Petula Clark also gave a surprisingly good performance and was perfect for the part. It is an all-around heartwarming movie, full of tenderness and bittersweet fun. I will always remember (in para-phrase) the line where Mr. Chips regrets he has never given her children, and she replies, ""Of course you have, hundreds of them -- all boys."" Thank you for the opportunity to vote for this movie and to voice my opinion.",positive
"Well, what can it be said about this disaster? I watched it because it aired on cable. I regret for wasting my time but at least I didn't waste money. The creature is the cheesiest you can get! Please, you need to be very generous not to get angered by the CHEAP Halloween costume. Oh well, there are also displays of horrible acting, f/x, and dialogues. The confrontation with the creature is unbelievable, you can't get a more pathetic scene. This is the worst you can get from direct to video flicks. ""Creature Unknown"" makes FULL MOON PICTURES movies look like ""Halloween"". Avoid this one at all costs, please. The only ""positive"" thing about this trash are the sexy women.",negative
"I give the show a six because of the fact that the show was in fact a platform for Damon Wayans as the Cosby Show was for Bill Cosby, it dealt with a lot of issues with humor and I felt that it in fact tailored to getting a laugh as opposed to letting the jokes come from the character. Michael Kyle An interesting patriarch and a wisecracking person. He is PHENOMENAL in movies, but in the show he was there for the wisecrack and though I loved it, I felt that the laugh was more important than plausibility. Jay Kyle I have loved her since House Party and have enjoyed her in School Daze and Martin, this was a great role for her and she made a great choice in picking this sitcom to co-star in. I also feel that Jay and Michael were more like equals in the show but Jay was more the woman who fed her crazy husbands the lines and went along with his way of unorthodox discipline because she may have felt that it worked Jr Just plain stupid, his character should have been well developed and even though he does have his moments of greatness, we are returned to the stupidity as if he learned nothing, which drives me nuts!!!!!!!! Not to mention that most of the situations (in episodes I've seen) seems to center around him Clair The attractive sister who dated a Christian, I found her boyfriend's character to be more interesting than she was (she'd be better off sticking to movies, the writers should have done more to show her intelligence but it's not stereotypical enough) Kady Lovable and the youngest daughter. I think the writers established her character most on the show aside from the parents and Franklin Franklin I LOVE this character and I think they derived it from Smart Guy (T.J. Mowry) which only lasted one season. They did a great job of casting for this little genius (the effort would have been made if Jr would have been the smart one but show the down sides also) All in all, this sitcom is a wonderful thing and it's homage to the Cosby Show is well done, I love the show and wished it would have stayed on longer than that. I can't wait to see the series finale",negative
"this was a fantastic episode. i saw a clip from it on YouTube, and i vowed that should it ever show on TV, i would glue myself to the set in order to watch. i wound up watching it with a friend of mine, who happens to be gay, and the two of us cried at the end. this was a truly well-written, heartfelt episode of the forbidden love between two cops who, i felt, really were (in Coop's words) ""the Lucky Ones"". it is episodes like this one that really make Cold Case one of the most captivating and much-loved works of television magic on CBS. i anxiously await more episodes, and a re-run of ""Forever Blue"" because i will always watch it again and again.",positive
